KodeNegara,Year,GDP,Growth
AFG,2020,80839000000.0,-0.024
AFG,2021,72251000000.0,-0.145
AFG,2022,72512000000.0,-0.062
AFG,2023,0.0,0.0
AFG,2024,0.0,0.0
ALB,2020,40696000000.0,-0.033
ALB,2021,46354000000.0,0.089
ALB,2022,52021000000.0,0.048
ALB,2023,55695000000.0,0.033
ALB,2024,58795000000.0,0.031
AND,2020,4088000000.0,-0.1119999999999999
AND,2021,4630000000.0,0.083
AND,2022,5430000000.0,0.096
AND,2023,5756000000.0,0.023
AND,2024,6001000000.0,0.018
ARG,2020,941767000000.0,-0.099
ARG,2021,1090514000000.0,0.107
ARG,2022,1225150000000.0,0.05
ARG,2023,1249884000000.0,-0.016
ARG,2024,1244646000000.0,-0.0279999999999999
ARM,2020,39535000000.0,-0.072
ARM,2021,43698000000.0,0.057
ARM,2022,52670000000.0,0.126
ARM,2023,59347000000.0,0.087
ARM,2024,64432000000.0,0.06
AUS,2020,1328559000000.0,-0.021
AUS,2021,1466645000000.0,0.0559999999999999
AUS,2022,1629732000000.0,0.038
AUS,2023,1723990000000.0,0.021
AUS,2024,1791358000000.0,0.015
AUT,2020,490198000000.0,-0.066
AUT,2021,534400000000.0,0.042
AUT,2022,599520000000.0,0.048
AUT,2023,616738000000.0,-0.0069999999999999
AUT,2024,634362000000.0,0.004
AZE,2020,146084000000.0,-0.042
AZE,2021,161363000000.0,0.0559999999999999
AZE,2022,180629000000.0,0.046
AZE,2023,189273000000.0,0.011
AZE,2024,199195000000.0,0.0279999999999999
BDI,2020,9164000000.0,0.003
BDI,2021,9883000000.0,0.031
BDI,2022,10772000000.0,0.018
BDI,2023,11462000000.0,0.027
BDI,2024,12241000000.0,0.043
BEL,2020,598319000000.0,-0.053
BEL,2021,668622000000.0,0.069
BEL,2022,737240000000.0,0.03
BEL,2023,775275000000.0,0.015
BEL,2024,803166000000.0,0.012
BEN,2020,42455000000.0,0.038
BEN,2021,47579000000.0,0.072
BEN,2022,54113000000.0,0.063
BEN,2023,59314000000.0,0.0579999999999999
BEN,2024,64413000000.0,0.06
BFA,2020,47367000000.0,0.019
BFA,2021,52976000000.0,0.069
BFA,2022,57715000000.0,0.018
BFA,2023,61949000000.0,0.036
BFA,2024,66910000000.0,0.055
BGR,2020,164687000000.0,-0.04
BGR,2021,185434000000.0,0.077
BGR,2022,206284000000.0,0.039
BGR,2023,217751000000.0,0.018
BGR,2024,229107000000.0,0.027
BLR,2020,190157000000.0,-0.0069999999999999
BLR,2021,203726000000.0,0.024
BLR,2022,207826000000.0,-0.047
BLR,2023,223763000000.0,0.039
BLR,2024,234661000000.0,0.024
BLZ,2020,3157000000.0,-0.1369999999999999
BLZ,2021,3892000000.0,0.179
BLZ,2022,4530000000.0,0.087
BLZ,2023,4915000000.0,0.047
BLZ,2024,5204000000.0,0.034
BOL,2020,96602000000.0,-0.087
BOL,2021,107206000000.0,0.061
BOL,2022,118891000000.0,0.036
BOL,2023,126306000000.0,0.025
BOL,2024,131422000000.0,0.016
BRA,2020,3170030000000.0,-0.033
BRA,2021,3473273000000.0,0.048
BRA,2022,3829972000000.0,0.03
BRA,2023,4085033000000.0,0.0289999999999999
BRA,2024,4273668000000.0,0.022
BRN,2020,28676000000.0,0.011
BRN,2021,29514000000.0,-0.016
